timestamp,green,ir,red
1630678969828,55116,337319,307235
1630678969838,55126,337319,307179
1630678969848,55134,337386,307188
1630678969858,55136,337371,307144
1630678969868,55162,337368,307207
1630678969878,55168,337393,307162
1630678969888,55188,337431,307210
1630678969898,55199,337395,307200
1630678969908,55202,337441,307204
1630678969918,55219,337466,307216
1630678969928,55237,337446,307219
1630678969938,55250,337547,307244
1630678969948,55262,337521,307252
1630678969958,55271,337520,307230
1630678969968,55300,337554,307224
1630678969978,55306,337572,307280
1630678969988,55310,337558,307292
1630678969998,55326,337577,307283
1630678970008,55332,337585,307247
1630678970018,55337,337605,307256
1630678970028,55346,337639,307269
1630678970038,55345,337655,307245
1630678970048,55358,337609,307253
1630678970058,55364,337591,307235
1630678970068,55373,337655,307259
1630678970078,55371,337640,307224
1630678970088,55379,337690,307223
1630678970098,55397,337700,307217
1630678970108,55401,337738,307239
1630678970118,55420,337725,307244
1630678970128,55435,337768,307253
1630678970138,55448,337728,307275
1630678970148,55452,337830,307290
1630678970158,55468,337822,307322
1630678970168,55508,337864,307334
1630678970178,55505,337849,307310
1630678970188,55534,337867,307323
1630678970198,55532,337889,307323
1630678970208,55553,337977,307351
1630678970218,55559,337939,307375
1630678970228,55575,337926,307353
1630678970238,55587,337975,307375
1630678970248,55586,338011,307374
1630678970258,55605,338045,307361
1630678970268,55608,338029,307357
1630678970278,55622,338032,307346
1630678970288,55645,338067,307344
1630678970298,55659,338058,307356
1630678970308,55665,338087,307346
1630678970318,55681,338028,307355
1630678970328,55711,338094,307403
1630678970338,55721,338053,307384
1630678970348,55732,338086,307436
1630678970358,55753,338073,307399
1630678970368,55758,338081,307447
1630678970378,55766,338095,307421
1630678970388,55778,338053,307406
1630678970398,55778,338065,307398
1630678970408,55772,338038,307436
1630678970418,55774,338065,307417
1630678970428,55789,338091,307417
1630678970438,55768,338065,307425
1630678970448,55768,338057,307367
1630678970458,55770,338006,307388
1630678970468,55773,338004,307354
1630678970478,55775,338006,307362
1630678970488,55751,338036,307324
1630678970498,55746,337998,307283
1630678970508,55737,337984,307252
1630678970518,55749,337984,307271
1630678970528,55740,338016,307252
1630678970538,55749,337996,307238
1630678970548,55743,338005,307184
1630678970558,55750,337970,307205
1630678970568,55743,338031,307178
1630678970578,55750,338015,307185
