timestamp,green,ir,red
1630679476692,67998,345247,326946
1630679476702,67716,342907,324652
1630679476712,67508,341454,323545
1630679476722,67492,341574,323333
1630679476732,67575,343585,323545
1630679476742,67756,347325,324442
1630679476752,68001,352086,325584
1630679476762,68118,356145,326821
1630679476772,68037,357688,326816
1630679476782,67811,356512,325774
1630679476792,67563,354037,324378
1630679476802,67233,351422,322741
1630679476812,66944,349679,321619
1630679476822,66611,349138,321075
1630679476832,66250,349611,320854
1630679476842,65936,350468,320693
1630679476852,65763,351740,320997
1630679476862,65703,353797,321586
1630679476872,65685,356203,322308
1630679476882,65632,358679,323007
1630679476892,65612,361022,323798
1630679476902,65606,362761,324507
1630679476912,65819,363538,325182
1630679476922,66262,363428,325983
1630679476932,66876,362536,326830
1630679476942,67410,360735,327209
1630679476952,67841,358248,327137
1630679476962,68083,355581,326644
1630679476972,68073,353260,325558
1630679476982,67829,351832,324011
1630679476992,67442,350924,321923
1630679477002,66969,350514,319542
1630679477012,66627,350462,317767
1630679477022,66569,350753,317414
1630679477032,66767,351207,318039
1630679477042,67170,351451,319295
1630679477052,67505,350921,319893
1630679477062,67561,349194,319192
1630679477072,67341,346517,317472
1630679477082,67071,344428,316120
1630679477092,66962,344756,315729
1630679477102,67056,348192,316966
1630679477112,67272,353738,320688
1630679477122,67647,360024,325096
1630679477132,67856,365379,328729
1630679477142,67730,369060,330572
1630679477152,67313,370665,330424
1630679477162,67054,370885,329843
1630679477172,67131,370485,329480
1630679477182,67456,369856,329764
1630679477192,68006,369926,331270
1630679477202,68577,370580,333237
1630679477212,69124,371464,335426
1630679477222,69415,372673,337250
1630679477232,69332,373881,338113
1630679477242,68988,374425,337777
1630679477252,68611,374527,336982
1630679477262,68422,374220,336387
1630679477272,68385,373599,335752
1630679477282,68571,372766,335466
1630679477292,69019,371732,335529
1630679477302,69546,370152,335527
1630679477312,70127,367376,335165
1630679477322,70508,363199,334094
1630679477332,70507,358342,332410
1630679477342,70085,353840,329942
1630679477352,69485,351005,327406
1630679477362,68961,349383,325409
1630679477372,68724,348963,324256
1630679477382,68712,349573,324123
1630679477392,68872,350677,324689
1630679477402,69041,351590,324965
1630679477412,69121,351675,325046
1630679477422,69078,350602,324324
1630679477432,68894,348472,322913
1630679477442,68629,345975,321283
1630679477452,68301,342875,319445
