timestamp,green,ir,red
1630679472153,20501,89115,84483
1630679472163,20516,89198,84523
1630679472173,20608,89636,84921
1630679472183,20778,90575,85762
1630679472193,21021,91892,86933
1630679472203,21266,93321,88102
1630679472213,21391,93994,88581
1630679472223,21523,94733,89209
1630679472233,21659,95461,89791
1630679472243,21775,96054,90239
1630679472253,21834,96342,90485
1630679472263,21907,96738,90847
1630679472273,22008,97308,91368
1630679472283,22133,97979,91973
1630679472293,22247,98694,92617
1630679472303,22352,99311,93171
1630679472313,22402,99603,93446
1630679472323,22394,99599,93428
1630679472333,22374,99490,93353
1630679472343,22382,99581,93449
1630679472353,22423,99843,93709
1630679472363,22499,100253,94079
1630679472373,22594,100805,94584
1630679472383,22676,101259,95009
1630679472393,22671,101218,94983
1630679472403,22494,100125,94026
1630679472413,22194,98215,92496
1630679472423,21864,96326,91020
1630679472433,21717,95483,90504
1630679472443,21850,96176,91300
1630679472453,22068,97340,92312
1630679472463,22192,98026,92939
1630679472473,22207,98075,92972
1630679472483,22053,97199,92125
1630679472493,21790,95714,90819
1630679472503,21568,94425,89803
1630679472513,21464,93708,89310
1630679472523,21525,93935,89622
1630679472533,21481,93768,89415
1630679472543,21438,93696,89193
1630679472553,21483,94085,89420
1630679472563,21555,94520,89729
1630679472573,21619,95062,90154
1630679472583,21754,95846,90736
1630679472593,21911,96776,91511
1630679472603,22116,97815,92387
1630679472613,22276,98785,93207
1630679472623,22411,99497,93825
1630679472633,22540,100149,94454
1630679472643,22677,100894,95126
1630679472653,22849,101913,96003
1630679472663,23046,102937,96886
1630679472673,23196,103904,97665
1630679472683,23309,104425,98024
1630679472693,23361,104927,98538
1630679472703,23479,105641,99074
1630679472713,23548,105933,99308
1630679472723,23574,106281,99698
1630679472733,23616,106363,99745
1630679472743,23610,106431,99924
1630679472753,23649,106578,100064
1630679472763,23703,106825,100445
1630679472773,23797,107270,100866
1630679472783,23784,107128,100845
1630679472793,23636,106164,100119
1630679472803,23285,104006,98343
1630679472813,22825,101458,96377
1630679472823,22521,99832,95069
1630679472833,22477,99830,95038
1630679472843,22641,100968,95943
1630679472853,22746,101540,96284
1630679472863,22775,101605,96298
1630679472873,22664,100787,95642
1630679472883,22479,99506,94787
1630679472893,22295,98293,93961
1630679472903,22156,97428,93342
1630679472913,22166,97415,93357
1630679472923,22226,97781,93648
1630679472933,22196,97637,93368
1630679472943,22051,96925,92632
1630679472953,22013,96678,92402
1630679472963,21904,96122,91815
1630679472973,21921,96321,91828
1630679472983,21941,96535,91993
1630679472993,22064,97258,92631
1630679473003,22219,97971,93183
1630679473013,22338,98609,93762
1630679473023,22466,99377,94428
1630679473033,22578,99994,94837
1630679473043,22657,100365,95087
1630679473053,22662,100699,95360
1630679473063,22731,101076,95698
1630679473073,22806,101529,96048
1630679473083,22909,102153,96588
1630679473093,23029,102856,97239
1630679473103,23215,104073,98239
1630679473113,23362,104912,98914
1630679473123,23404,105186,99188
1630679473133,23360,104980,99044
1630679473143,23367,105006,99099
1630679473153,23397,105150,99217
1630679473163,23382,105251,99378
1630679473173,23370,105151,99199
1630679473183,23167,103954,98178
1630679473193,22878,102381,96946
1630679473203,22657,101103,95987
1630679473213,22569,100579,95605
1630679473223,22636,101115,96102
1630679473233,22848,102266,97133
1630679473243,23028,103205,98056
1630679473253,23117,103530,98442
1630679473263,23072,102973,98020
1630679473273,22846,101579,96871
1630679473283,22557,99874,95412
1630679473293,22341,98765,94431
1630679473303,22292,98574,94222
1630679473313,22349,99103,94610
1630679473323,22426,99647,94998
1630679473333,22499,100103,95353
1630679473343,22572,100509,95653
1630679473353,22641,100849,95913
1630679473363,22693,101213,96175
1630679473373,22727,101432,96301
1630679473383,22780,101731,96514
1630679473393,22892,102365,97012
1630679473403,22992,103006,97499
1630679473413,23122,103786,98147
1630679473423,23260,104570,98779
1630679473433,23393,105378,99515
1630679473443,23520,106096,100146
1630679473453,23629,106734,100778
1630679473463,23713,107179,101223
1630679473473,23782,107556,101614
1630679473483,23801,107744,101769
1630679473493,23802,107883,101813
1630679473503,23771,107903,101753
1630679473513,23740,107912,101705
1630679473523,23733,107909,101610
1630679473533,23688,107798,101556
1630679473543,23692,107737,101564
1630679473553,23622,107341,101342
1630679473563,23519,106703,100915
1630679473573,23400,105979,100375
1630679473583,23077,104007,98783
1630679473593,22687,101780,97065
1630679473603,22361,100051,95586
1630679473613,22202,99363,94945
1630679473623,22260,99831,95353
1630679473633,22434,100699,96226
1630679473643,22573,101304,96911
1630679473653,22487,100610,96425
1630679473663,22254,99120,95221
1630679473673,21901,97202,93590
1630679473683,21658,95992,92405
1630679473693,21630,95983,92370
1630679473703,21767,96803,93156
1630679473713,21876,97238,93502
1630679473723,21821,97049,93248
1630679473733,21712,96547,92709
1630679473743,21643,96252,92348
1630679473753,21641,96299,92358
1630679473763,21689,96569,92594
1630679473773,21776,96978,92959
1630679473783,21888,97563,93451
1630679473793,22002,98182,93990
1630679473803,22073,98608,94353
1630679473813,22127,98946,94648
1630679473823,22180,99305,94944
1630679473833,22247,99785,95385
1630679473843,22344,100379,95976
1630679473853,22457,101060,96602
1630679473863,22566,101682,97179
1630679473873,22658,102200,97636
1630679473883,22698,102413,97807
1630679473893,22678,102327,97670
