timestamp,is_touching
1630680315406,1
1630680315468,1
1630680315562,1
1630680315674,1
1630680315767,1
1630680315908,1
1630680316013,1
1630680316107,1
1630680316169,1
1630680316278,1
1630680316372,1
1630680316531,1
1630680316625,1
1630680316703,1
1630680316797,1
1630680316891,1
1630680317000,1
1630680317125,1
1630680317234,1
1630680317359,1
1630680317391,1
1630680317531,1
1630680317594,1
1630680317719,1
1630680317828,1
1630680317922,1
1630680318031,1
1630680318125,1
1630680318219,1
1630680318328,1
1630680318437,1
1630680318531,1
1630680318625,1
1630680318734,1
1630680318828,1
1630680318968,1
1630680319031,1
1630680319160,1
1630680319254,1
1630680319300,1
1630680319410,1
1630680319566,1
1630680319644,1
1630680319738,1
1630680319831,1
1630680319941,1
1630680320050,1
1630680320175,1
1630680320269,1
1630680320362,1
1630680320456,1
1630680320550,1
1630680320646,1
1630680320771,1
1630680320881,1
1630680320974,1
1630680321068,1
1630680321162,1
1630680321255,1
1630680321380,1
1630680321505,1
1630680321568,1
1630680321693,1
1630680321771,1
1630680321865,1
1630680321990,1
1630680322130,1
1630680322224,1
1630680322302,1
1630680322365,1
1630680322462,1
1630680322587,1
1630680322696,1
1630680322790,1
1630680322884,1
1630680322993,1
1630680323071,1
1630680323190,1
1630680323315,1
1630680323393,1
1630680323487,1
1630680323597,1
1630680323690,1
1630680323831,1
1630680323925,1
1630680324018,1
1630680324112,1
1630680324206,1
1630680324268,1
1630680324440,1
1630680324553,1
1630680324600,1
1630680324710,1
1630680324803,1
1630680324913,1
1630680325022,1
1630680325132,1
1630680325226,1
1630680325346,1
1630680325426,1
1630680325533,1
1630680325659,1
1630680325784,1
1630680325830,1
1630680325939,1
1630680326033,1
1630680326110,1
1630680326265,1
1630680326343,1
1630680326451,1
1630680326517,1
1630680326625,1
1630680326720,1
1630680326863,1
1630680326960,1
1630680327050,1
1630680327147,1
1630680327241,1
1630680327334,1
1630680327463,1
1630680327572,1
1630680327666,1
1630680327775,1
1630680327869,1
1630680327947,1
1630680328075,1
1630680328181,1
1630680328276,1
1630680328377,1
1630680328470,1
1630680328564,1
1630680328705,1
1630680328783,1
1630680328908,1
1630680328970,1
1630680329080,1
1630680329173,1
1630680329298,1
1630680329408,1
1630680329517,1
1630680329611,1
1630680329672,1
1630680329775,1
1630680329900,1
1630680330026,1
1630680330125,1
1630680330201,1
1630680330294,1
1630680330388,1
1630680330560,1
1630680330622,1
1630680330731,1
1630680330825,1
1630680330919,1
1630680330997,1
1630680331157,1
1630680331220,1
1630680331329,1
1630680331423,1
1630680331487,1
1630680331628,1
1630680331753,1
1630680331815,1
1630680331933,1
1630680332011,1
1630680332105,1
1630680332198,1
1630680332370,1
1630680332464,1
1630680332529,1
1630680332670,1
1630680332732,1
1630680332826,1
1630680332966,1
1630680333060,1
1630680333154,1
1630680333232,1
1630680333357,1
1630680333435,1
1630680333549,1
1630680333658,1
1630680333752,1
1630680333877,1
1630680333955,1
1630680334048,1
1630680334177,1
1630680334271,1
1630680334381,1
