timestamp,TP9,AF7,AF8,TP10
1630679844313,1.0,1.0,1.0,1.0
1630679844406,1.0,1.0,1.0,1.0
1630679844554,1.0,1.0,1.0,1.0
1630679844650,1.0,1.0,1.0,1.0
1630679844744,1.0,1.0,1.0,1.0
1630679844854,1.0,1.0,1.0,1.0
1630679844947,1.0,1.0,1.0,1.0
1630679845010,1.0,1.0,1.0,1.0
1630679845119,1.0,1.0,1.0,1.0
1630679845244,1.0,1.0,1.0,1.0
1630679845353,1.0,1.0,1.0,1.0
1630679845449,1.0,1.0,1.0,1.0
1630679845574,1.0,1.0,1.0,1.0
1630679845668,1.0,1.0,1.0,1.0
1630679845731,1.0,1.0,1.0,1.0
1630679845856,1.0,1.0,1.0,1.0
1630679845996,1.0,1.0,1.0,1.0
1630679846027,1.0,1.0,1.0,1.0
1630679846152,1.0,1.0,1.0,1.0
1630679846293,1.0,1.0,1.0,1.0
1630679846340,1.0,1.0,1.0,1.0
1630679846467,1.0,1.0,1.0,1.0
1630679846545,1.0,1.0,1.0,1.0
1630679846670,1.0,1.0,1.0,1.0
1630679846748,1.0,1.0,1.0,1.0
1630679846873,1.0,1.0,1.0,1.0
1630679846920,1.0,1.0,1.0,1.0
1630679847092,1.0,1.0,1.0,1.0
1630679847170,1.0,1.0,1.0,1.0
1630679847279,1.0,1.0,1.0,1.0
1630679847357,1.0,1.0,1.0,1.0
1630679847451,1.0,1.0,1.0,1.0
1630679847547,1.0,1.0,1.0,1.0
1630679847672,1.0,1.0,1.0,1.0
1630679847828,1.0,1.0,1.0,1.0
1630679847922,1.0,1.0,1.0,1.0
1630679848032,1.0,1.0,1.0,1.0
1630679848094,1.0,1.0,1.0,1.0
1630679848156,1.0,1.0,1.0,1.0
1630679848344,1.0,1.0,1.0,1.0
1630679848375,1.0,1.0,1.0,1.0
1630679848469,1.0,1.0,1.0,1.0
1630679848705,1.0,1.0,1.0,1.0
1630679848705,1.0,1.0,1.0,1.0
1630679848784,1.0,1.0,1.0,1.0
1630679848908,1.0,1.0,1.0,1.0
1630679849011,1.0,1.0,1.0,1.0
1630679849152,1.0,1.0,1.0,1.0
1630679849168,1.0,1.0,1.0,1.0
1630679849355,1.0,1.0,1.0,1.0
1630679849371,1.0,1.0,1.0,1.0
1630679849511,1.0,1.0,1.0,1.0
1630679849608,1.0,1.0,1.0,1.0
1630679849764,1.0,1.0,1.0,1.0
1630679849796,1.0,1.0,1.0,1.0
1630679849905,1.0,1.0,1.0,1.0
1630679850030,1.0,1.0,1.0,1.0
1630679850124,1.0,1.0,1.0,1.0
1630679850233,1.0,1.0,1.0,1.0
1630679850342,1.0,1.0,1.0,1.0
1630679850405,1.0,1.0,1.0,1.0
1630679850545,1.0,1.0,1.0,1.0
1630679850577,1.0,1.0,1.0,1.0
1630679850704,1.0,1.0,1.0,1.0
1630679850813,1.0,1.0,1.0,1.0
1630679850907,1.0,1.0,1.0,1.0
1630679851001,1.0,1.0,1.0,1.0
1630679851126,1.0,1.0,1.0,1.0
1630679851251,1.0,1.0,1.0,1.0
1630679851391,1.0,1.0,1.0,1.0
1630679851407,1.0,1.0,1.0,1.0
1630679851516,1.0,1.0,1.0,1.0
1630679851643,1.0,1.0,1.0,1.0
1630679851721,1.0,1.0,1.0,1.0
1630679851846,1.0,1.0,1.0,1.0
1630679851940,1.0,1.0,1.0,1.0
1630679852049,1.0,1.0,1.0,1.0
1630679852143,1.0,1.0,1.0,1.0
1630679852206,1.0,1.0,1.0,1.0
1630679852361,1.0,1.0,1.0,1.0
1630679852439,1.0,1.0,1.0,1.0
1630679852549,1.0,1.0,1.0,1.0
1630679852642,1.0,1.0,1.0,1.0
1630679852767,1.0,1.0,1.0,1.0
1630679852830,1.0,1.0,1.0,1.0
1630679852924,1.0,1.0,1.0,1.0
1630679853033,1.0,1.0,1.0,1.0
1630679853205,1.0,1.0,1.0,1.0
1630679853299,1.0,1.0,1.0,1.0
1630679853361,1.0,1.0,1.0,1.0
1630679853424,1.0,1.0,1.0,1.0
1630679853535,1.0,1.0,1.0,1.0
1630679853629,1.0,1.0,1.0,1.0
1630679853770,1.0,1.0,1.0,1.0
1630679853926,1.0,1.0,1.0,1.0
1630679854004,1.0,1.0,1.0,1.0
1630679854067,1.0,1.0,1.0,1.0
1630679854145,1.0,1.0,1.0,1.0
1630679854254,1.0,1.0,1.0,1.0
1630679854457,1.0,1.0,1.0,1.0
1630679854566,1.0,1.0,1.0,1.0
1630679854598,1.0,1.0,1.0,1.0
1630679854660,1.0,1.0,1.0,1.0
1630679854832,1.0,1.0,1.0,1.0
1630679854863,1.0,1.0,1.0,1.0
1630679854988,1.0,1.0,1.0,1.0
1630679855144,1.0,1.0,1.0,1.0
1630679855176,1.0,1.0,1.0,1.0
