trialStartTime,trialNumber,repNumber,stimulusStartTime,stimulusQuadrant,stimulus,correctResponse,participantResponse,isCorrectResponse,responseTime
1247.826484,124,31,1247.961127,1,K5,c,c,1,0.999197508
1248.994412,125,31,1249.126861,2,E6,m,m,1,0.633444062
1249.79234,126,31,1249.926685,3,E5,m,m,1,0.600483572
1250.56109,127,31,1250.692454,4,M8,c,c,1,0.647639311
1251.358131,128,32,1251.491997,1,A7,m,m,1,3.580125454
1255.091378,129,32,1255.224899,2,K3,c,c,1,0.53702897
1255.791955,130,32,1255.92411,3,U9,m,m,1,0.581907315
1256.525992,131,32,1256.66136,4,I9,m,m,1,0.821513989
1257.510057,132,33,1257.642901,1,M5,c,c,1,0.829052474
1258.492572,133,33,1258.629119,2,E7,m,m,1,0.533861778
1259.191627,134,33,1259.328882,3,R5,m,m,1,1.18087142
1260.525698,135,33,1260.660228,4,M6,c,c,1,0.600625129
1261.294371,136,34,1261.427178,1,K8,c,c,1,2.693477941
1264.143197,137,34,1264.27761,2,I5,m,m,1,1.283007278
1265.590658,138,34,1265.726856,3,A8,c,c,1,0.82563731
1266.576178,139,34,1266.709669,4,U6,c,c,1,0.550959142
1267.291486,140,35,1267.427622,1,U3,m,m,1,0.706973378
1268.160876,141,35,1268.290596,2,K4,c,c,1,0.575841444
1268.892225,142,35,1269.026542,3,G8,c,c,1,1.287866149
1270.342966,143,35,1270.476986,4,E9,m,m,1,0.512642019
1271.009723,144,36,1271.143021,1,A5,m,m,1,0.800275225
1271.959295,145,36,1272.091312,2,E9,m,m,1,0.605985111
1272.72471,146,36,1272.860266,3,G9,m,m,1,0.618965706
1273.509502,147,36,1273.643097,4,R5,m,m,1,0.555123727
1274.224844,148,37,1274.361289,1,G4,c,c,1,0.707850548
1275.094046,149,37,1275.226832,2,A3,m,m,1,0.731320035
1275.994177,150,37,1276.128484,3,K8,c,c,1,0.702669885
1276.857987,151,37,1276.991978,4,I4,c,c,1,0.921277535
1277.948243,152,38,1278.075261,1,K4,c,c,1,2.335672787
1280.442353,153,38,1280.575742,2,A2,m,c,0,0.787267004
1281.391832,154,38,1281.527647,3,U5,m,m,1,1.35125888
1282.909611,155,38,1283.042992,4,M4,c,c,1,0.622837065
1283.694185,156,39,1283.828174,1,K6,c,c,1,1.038743748
1284.903684,157,39,1285.025723,2,G5,c,c,1,1.336990925
1286.392626,158,39,1286.526689,3,M5,m,m,1,0.805961117
1287.35875,159,39,1287.493975,4,K2,c,c,1,0.507730072
1288.02716,160,40,1288.160727,1,M5,c,c,1,1.665797143
1289.858676,161,40,1289.992738,2,U9,m,m,1,0.495850615
1290.50923,162,40,1290.643445,3,G8,c,c,1,0.851861401
1291.525221,163,40,1291.6581,4,I9,m,m,1,0.601336812
1292.293894,164,41,1292.424951,1,K4,c,c,1,1.014463901
1293.46052,165,41,1293.603582,2,E2,m,m,1,1.633761079
1295.260605,166,41,1295.393899,3,G5,m,m,1,0.706421719
1296.125492,167,41,1296.259503,4,M5,m,m,1,1.326687537
1297.610135,168,42,1297.742055,1,R7,c,c,1,2.211045337
1299.975367,169,42,1300.109199,2,A7,m,m,1,0.901854057
1301.041486,170,42,1301.175907,3,A7,m,m,1,0.552256489
1301.757861,171,42,1301.89387,4,M5,m,m,1,0.941099016
1302.85863,172,43,1302.993348,1,M6,c,c,1,1.366630978
1304.403422,173,43,1304.523701,2,M6,c,c,1,0.998190336
1305.542618,174,43,1305.675537,3,U8,c,c,1,0.868325601
1306.576975,175,43,1306.709632,4,M3,m,m,1,0.626246492
1307.358992,176,44,1307.491009,1,A8,m,m,1,0.839886563
1308.356,177,44,1308.487819,2,A2,m,m,1,0.471933347
1308.990172,178,44,1309.127253,3,U4,c,c,1,0.686492473
1309.844428,179,44,1309.976744,4,K7,m,m,1,1.184967089
1311.192117,180,45,1311.322155,1,I4,m,m,1,1.643443576
1312.991667,181,45,1313.126215,2,U6,m,m,1,0.542302064
1313.693503,182,45,1313.825133,3,A6,c,c,1,1.363448962
1315.208814,183,45,1315.342038,4,R6,c,c,1,0.600411987
1315.958718,184,46,1316.09132,1,A4,m,m,1,0.784180258
1316.891773,185,46,1317.025905,2,A3,m,m,1,0.44656361
1317.49058,186,46,1317.625203,3,K4,c,c,1,0.883110373
1318.541816,187,46,1318.660595,4,G5,m,m,1,1.339675783
1320.026794,188,47,1320.169868,1,G3,c,c,1,2.826329049
1323.024045,189,47,1323.158864,2,A2,m,m,1,0.560266064
1323.742225,190,47,1323.876275,3,G9,m,m,1,1.835909934
1325.742989,191,47,1325.875386,4,R6,c,c,1,0.642677277
1326.54212,192,48,1326.67527,1,A8,m,c,0,1.644717519
1328.341863,193,48,1328.475525,2,A3,m,m,1,0.781640989
1329.294157,194,48,1329.424105,3,M3,m,m,1,0.625414402
1330.075518,195,48,1330.208792,4,R7,m,m,1,0.499108867
1330.724861,196,49,1330.860056,1,A3,m,m,1,1.512844266
1332.391735,197,49,1332.527034,2,K4,c,c,1,0.546655996
1333.103128,198,49,1333.224708,3,U8,c,m,0,0.687902198
1333.945068,199,49,1334.075187,4,M2,c,c,1,1.386438937
